trigger_name,event_object_table,action_statement
update_objects_updated_at,objects,EXECUTE FUNCTION storage.update_updated_at_column()
enforce_bucket_name_length_trigger,buckets,EXECUTE FUNCTION storage.enforce_bucket_name_length()
enforce_bucket_name_length_trigger,buckets,EXECUTE FUNCTION storage.enforce_bucket_name_length()
protect_buckets_delete,buckets,EXECUTE FUNCTION storage.protect_delete()
protect_objects_delete,objects,EXECUTE FUNCTION storage.protect_delete()
tr_check_filters,subscription,EXECUTE FUNCTION realtime.subscription_check_filters()
tr_check_filters,subscription,EXECUTE FUNCTION realtime.subscription_check_filters()
trg_application_status_change,applications,EXECUTE FUNCTION handle_application_status_change()
trg_advisor_assignment_notification,applications,EXECUTE FUNCTION handle_advisor_assignment_notification()
trg_prevent_advisor_assignment_before_student_acceptance,applications,EXECUTE FUNCTION prevent_advisor_assignment_before_student_acceptance()
trg_notify_advisor_assigned,applications,EXECUTE FUNCTION notify_advisor_assigned()
trg_notify_teacher_orientation_request,applications,EXECUTE FUNCTION notify_teacher_orientation_request()
trg_notify_teacher_orientation_request,applications,EXECUTE FUNCTION notify_teacher_orientation_request()
trg_notify_teacher_message,application_messages,EXECUTE FUNCTION notify_teacher_message()
trg_set_teacher_evaluation_updated_at,teacher_evaluations,EXECUTE FUNCTION set_teacher_evaluation_updated_at()